Form Sinop;;;;;;;;;;;;;;;;;;;;;;;;;
station_id;station_name;current_latitude;current_longitude;timestamp;wind_dir_deg_dd;wind_speed_ff;visibility_vv;present_weather_ww;past_weather_w1;past_weather_w2;pressure_qfe_mb_derived;pressure_qff_mb_derived;temp_drybulb_c_tttttt;temp_dewpoint_c_tdtdtd;temp_wetbulb_c;temp_max_c_txtxtx;temp_min_c_tntntn;relative_humidity_pc;rainfall_last_mm;rainfall_24h_rrrr;rainfall_6h_rrr;evaporation_24hours_mm_eee;sunshine_h_sss;qc_flag;qc_parameter
96161;Stasiun Meteorologi Maritim Teluk Bayur;-0.99639;100.37222;2025-03-20 00;0;0;9;1;6;2;1011.9;1013.1;24.1;20.8;21.8;;24;82;0;0.5;0.2;0.7;1;0;
96161;Stasiun Meteorologi Maritim Teluk Bayur;-0.99639;100.37222;2025-03-20 01;0;0;10;2;2;2;1012.4;1013.5;24.6;21.3;22.3;;;82;;;;;;0;
96161;Stasiun Meteorologi Maritim Teluk Bayur;-0.99639;100.37222;2025-03-20 02;0;0;10;3;2;2;1012.7;1013.8;28;20.7;22.9;;;65;;;;;;1;temp_drybulb_c_tttttt:step_check
96161;Stasiun Meteorologi Maritim Teluk Bayur;-0.99639;100.37222;2025-03-20 03;330;3;9;2;2;2;1012.8;1013.9;29.8;22.4;24.5;;;65;0;;;;;0;
96161;Stasiun Meteorologi Maritim Teluk Bayur;-0.99639;100.37222;2025-03-20 04;30;1;9;3;2;2;1012.2;1013.4;31;23.2;25.3;;;63;;;;;;0;
96161;Stasiun Meteorologi Maritim Teluk Bayur;-0.99639;100.37222;2025-03-20 05;320;2;8;2;2;2;1011.8;1012.9;31.1;24;25.9;;;66;;;;;;0;
96161;Stasiun Meteorologi Maritim Teluk Bayur;-0.99639;100.37222;2025-03-20 06;360;3;9;2;2;2;1010.8;1011.9;31.9;24;26.1;;;63;0;;0;;;0;
96161;Stasiun Meteorologi Maritim Teluk Bayur;-0.99639;100.37222;2025-03-20 07;320;5;9;2;2;2;1009.9;1011;31.3;24.6;26.3;;;67;;;;;;0;
96161;Stasiun Meteorologi Maritim Teluk Bayur;-0.99639;100.37222;2025-03-20 08;10;5;9;2;2;2;1009.4;1010.5;31.2;24.4;26.2;;;67;;;;;;0;
96161;Stasiun Meteorologi Maritim Teluk Bayur;-0.99639;100.37222;2025-03-20 09;40;3;9;2;2;2;1009;1010.1;31.5;20.3;23.6;;;52;0;;;;;0;
96161;Stasiun Meteorologi Maritim Teluk Bayur;-0.99639;100.37222;2025-03-20 10;0;0;9;2;2;2;1009.1;1010.2;30.7;20.8;23.7;;;56;;;;;;0;
96161;Stasiun Meteorologi Maritim Teluk Bayur;-0.99639;100.37222;2025-03-20 11;0;0;9;2;2;2;1009.5;1010.6;30.4;20.6;23.5;;;56;;;;;;0;
96161;Stasiun Meteorologi Maritim Teluk Bayur;-0.99639;100.37222;2025-03-20 12;70;3;6;60;6;2;1010.2;1011.3;29.4;20.9;23.4;32.7;;60;8888;;8888;;;0;
96161;Stasiun Meteorologi Maritim Teluk Bayur;-0.99639;100.37222;2025-03-20 13;0;0;6;21;2;2;1010.5;1011.6;29;20.6;23.1;;;61;;;;;;0;
96161;Stasiun Meteorologi Maritim Teluk Bayur;-0.99639;100.37222;2025-03-20 14;0;0;10;2;2;2;1011.3;1012.4;28.4;20.9;23.1;;;64;;;;;;0;
96161;Stasiun Meteorologi Maritim Teluk Bayur;-0.99639;100.37222;2025-03-20 15;0;0;6;2;6;2;1011.7;1012.8;27;21.6;23.2;;;73;8888;;;;;0;
96161;Stasiun Meteorologi Maritim Teluk Bayur;-0.99639;100.37222;2025-03-20 16;0;0;7;2;2;2;1011.7;1012.9;26.7;21.3;22.9;;;72;;;;;;0;
96161;Stasiun Meteorologi Maritim Teluk Bayur;-0.99639;100.37222;2025-03-20 17;0;0;7;1;2;2;1011.6;1012.7;26.6;21.5;23;;;74;;;;;;0;
96161;Stasiun Meteorologi Maritim Teluk Bayur;-0.99639;100.37222;2025-03-20 18;0;0;7;2;6;2;1010.8;1011.9;26;21.5;22.8;;;76;0;;8888;;;0;
96161;Stasiun Meteorologi Maritim Teluk Bayur;-0.99639;100.37222;2025-03-20 19;0;0;8;2;2;2;1010.6;1011.7;27;20.1;22.2;;;66;;;;;;0;
96161;Stasiun Meteorologi Maritim Teluk Bayur;-0.99639;100.37222;2025-03-20 20;0;0;8;2;2;2;1010.4;1011.5;27.2;19.5;21.9;;;63;;;;;;0;
96161;Stasiun Meteorologi Maritim Teluk Bayur;-0.99639;100.37222;2025-03-20 21;30;4;8;2;2;2;1010.3;1011.4;27.7;18.6;21.5;;;58;0;;;;;0;
96161;Stasiun Meteorologi Maritim Teluk Bayur;-0.99639;100.37222;2025-03-20 22;70;5;8;1;2;2;1009.9;1011;27.8;18.9;21.7;;;59;;;;;;0;
96161;Stasiun Meteorologi Maritim Teluk Bayur;-0.99639;100.37222;2025-03-20 23;40;1;9;3;2;2;1010.4;1011.5;27.2;19.7;22;;;64;;;;;;0;
96161;Stasiun Meteorologi Maritim Teluk Bayur;-0.99639;100.37222;2025-03-21 00;50;4;9;2;2;2;1010.5;1011.6;27.1;20.4;22.4;;24.1;67;0;8888;0;2.4;0.7;0;
